,id,uri,name,popularity,genres
85,3tQx1LPXbsYjE9VwN1Peaa,https://open.spotify.com/artist/3tQx1LPXbsYjE9VwN1Peaa,Marc E. Bassy,71,"pop,pop-rap,r-b"
86,2J0JN7EFN10G1Tty6hX0AN,https://open.spotify.com/artist/2J0JN7EFN10G1Tty6hX0AN,DJ ESCO,51,"atl-hip-hop,rap,southern-hip-hop,trap,vapor-trap"
87,6d47Z08T4snK50HgTEHo5Z,https://open.spotify.com/artist/6d47Z08T4snK50HgTEHo5Z,Sage The Gemini,70,"dance-pop,hyphy,pop-rap,rap,southern-hip-hop,trap"
88,2KsP6tYLJlTBvSUxnwlVWa,https://open.spotify.com/artist/2KsP6tYLJlTBvSUxnwlVWa,Mike Posner,74,"dance-pop,edm,pop,pop-rap,rap"
89,5iNrZmtVMtYev5M9yoWpEq,https://open.spotify.com/artist/5iNrZmtVMtYev5M9yoWpEq,Seeb,73,"dance-pop,edm,electro-house,norwegian-pop,pop,pop-dance,pop-edm,tropical-house"
90,2RdwBSPQiwcmiDo9kixcl8,https://open.spotify.com/artist/2RdwBSPQiwcmiDo9kixcl8,Pharrell Williams,83,pop-rap
91,50JJSqHUf2RQ9xsHs0KMHg,https://open.spotify.com/artist/50JJSqHUf2RQ9xsHs0KMHg,Jon Bellion,73,pop-rap
92,0QJIPDAEDILuo8AIq3pMuU,https://open.spotify.com/artist/0QJIPDAEDILuo8AIq3pMuU,M.I.A.,72,"dance-pop,escape-room,indietronica,new-rave"
93,1Cs0zKBU1kc0i8ypK3B9ai,https://open.spotify.com/artist/1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,91,"big-room,dance-pop,edm,pop,pop-dance,pop-rap"
94,1dfeR4HaWDbWqFHLkxsg1d,https://open.spotify.com/artist/1dfeR4HaWDbWqFHLkxsg1d,Queen,90,"classic-rock,glam-rock,rock"
95,246dkjvS1zLTtiykXe5h60,https://open.spotify.com/artist/246dkjvS1zLTtiykXe5h60,Post Malone,92,"dfw-rap,melodic-rap,rap"
96,7gAppWoH7pcYmphCVTXkzs,https://open.spotify.com/artist/7gAppWoH7pcYmphCVTXkzs,The Vamps,76,"boy-band,dance-pop,pop,post-teen-pop"
97,4YXycRbyyAE0wozTk7QMEq,https://open.spotify.com/artist/4YXycRbyyAE0wozTk7QMEq,Matoma,72,"dance-pop,edm,electro-house,electropop,norwegian-pop,pop,pop-dance,pop-edm,tropical-house"
