,id,name,country
280,Q108294619,Universal Music Denmark,DK
281,Q553858,Disques Vogue,FR
282,Q108775919,Aftonbladet,SE
283,Q1062659,Lantis,JP
284,Q3024008,Derrty Entertainment,US
285,Q1849138,Nonesuch,US
286,Q4732512,Allido Records,US
287,Q6386991,Kemosabe Records,US
288,Q7937485,Viva Records,PH
289,Q831335,Bethlehem Records,US
290,Q1533331,Go! Discs,GB
291,Q19546,pope,VA
292,Q6555876,Lionheart Music Group,SE
293,Q1134531,Metronome,SE
294,Q10915648,Sony Music Taiwan,TW
295,Q11102802,JVR Music International Ltd.,
296,Q5578903,Gold Typhoon,CN
297,Q6044516,İdobay Müzik,TR
298,Q6075854,Doğan Music Company,TR
299,Q6052368,Raks Müzik,TR
300,Q6092740,Seyhan Müzik,TR
301,Q20471638,Esen Müzik,TR
302,Q19610562,Arpej Yapım,TR
303,Q6078167,Avrupa Müzik,TR
304,Q6052919,Şahin Özer Music,TR
305,Q65032646,Nesër Music,AL
306,Q796316,BMG Rights Management,DE
307,Q568246,Shady Records,US
308,Q2708269,WEB Entertainment,US
309,Q6067615,Emre Plak,TR
310,Q7376436,Rubyworks Records,IE
311,Q790686,Avex Group,JP
312,Q4828438,Avex Taiwan,
313,Q7284620,Rainbow Entertainment,JP
314,Q483238,JYP Entertainment,KR
315,Q2807950,14th Floor Records,GB
316,Q605512,Maybach Music Group,US
317,Q5494088,Dualtone Records,US
318,Q2079912,Dine Alone Records,CA
319,Q42201,independent music,
320,Q182742,ersguterjunge,DE
321,Q576296,HMC,FI
322,Q13403111,PME Records,FI
323,Q3547034,Tôt ou tard,FR
324,Q1358555,Ninja Tune,GB
325,Q15720481,Capitol Music France,FR
326,Q4771243,Antenna,KR
327,Q837222,Candid Records,US
328,Q2749562,EmArcy Records,DE
329,Q23087,Ministry of Sound,GB
330,Q3544661,Universal Records,PH
331,Q5242498,Dawn Raid Entertainment,
332,Q238095,4AD,GB
333,Q2589723,FatCat Records,GB
334,Q168407,Deutsche Grammophon,DE
335,Q881469,Blanco y Negro,GB
336,Q220861,Kontor Records,DE
337,Q2260605,Scorpio Music,
338,Q2090523,Armind,
339,Q4033154,A State of Trance,
340,Q2743409,All Around the World Productions,GB
341,Q57169698,Who’s Afraid of 138?!,
342,Q883485,Vandit,DE
343,Q17085404,AWAL,GB
344,Q2818689,92I,
345,Q255363,Starship Entertainment,KR
346,Q880314,Black Hole Recordings,NL
347,Q6731087,Magik Muzik,NL
348,Q6541940,SongBird,NL
349,Q1973834,Play It Again Sam,BE
350,Q3868643,Musical Freedom,NL
351,Q27862208,AFTR:HRS,NL
352,Q6049713,Dokuz Sekiz Müzik,TR
353,Q2172834,Motéma Music,US
354,Q11188596,A-Sketch,
355,Q719628,Amuse,JP
356,Q1238400,Domino Recording Company,GB
357,Q158886,Nuclear Blast,DE
358,Q20723082,Universal Music France,
359,Q4829895,Aware Records,US
360,Q874433,Warner Music Japan,JP
361,Q3976712,Sugar Music,IT
362,Q3747293,Fonit Cetra,IT
363,Q43380,CBS,US
364,Q10854462,CJ E&M,
365,Q15509774,Mystic Story,KR
366,Q1338446,LaFace Records,US
367,Q106089679,Tarsier Records,
368,Q1273666,Entertainment One Music,US
369,Q669132,We the Best Music Group,US
370,Q1124061,Concord Records,US
371,Q3631345,Axtone Records,SE
372,Q770103,Bertelsmann Music Group,DE
373,Q1029135,Nettwerk,
374,Q662575,Ariola,DE
375,Q20049891,Movieplay,ES
376,Q4043197,Universal Music Group Nashville,US
377,Q7280875,Radio Killa Records,US
378,Q15548291,Young,GB
379,Q5281021,Dirty Hit,GB
380,Q669127,Vagrant Records,US
381,Q5216047,Dangerbird Records,US
382,Q523563,Edel Records,DE
383,Q24337589,Auf!Keinen!Fall!,DE
384,Q51954444,Universal Urban,
385,Q106643113,Stay High,DE
386,Q311439,ECM Records,DE
387,Q473873,Vevo,
388,Q1536095,Regain Records,SE
389,Q254539,Pamplin Music,US
390,Q1753057,Tuff Gong,JM
391,Q5045044,Caroline Distribution,US
392,Q18149651,Empire Distribution,US
393,Q4052630,Velvet Music,RU
394,Q19835183,Banger Musik,DE
395,Q9371062,Warner Music Germany,DE
396,Q73048451,Tha Alumni Music Group,US
397,Q73049030,88 Classic,US
398,Q429296,MBK Entertainment,KR
399,Q3983150,Tempi Duri,IT
400,Q3923944,Propaganda Records,IT
401,Q2081881,Megarave records,NL
402,Q2285595,Offensive Records,NL
403,Q56425411,Nora Collective,NO
404,Q21856203,Safehouse Records,US
405,Q47178816,Petroleum Records,NO
406,Q14192383,19 Recordings,GB
407,Q6042587,GNL Entertainment,TR
408,Q126039,Beggars Banquet Records,GB
409,Q7138835,Parkwood Entertainment,US
410,Q14566650,Music World Entertainment,US
411,Q1153032,Roc-A-Fella Records,US
412,Q1025919,Machine Shop Records,US
413,Q885833,Blue Note,US
414,Q1128607,Contemporary Records,US
415,Q1811175,Prestige,US
416,Q489428,DSP Media,KR
417,Q935090,London Recordings,GB
418,Q909310,Regal Recordings,GB
419,Q2818028,679 Artists,GB
420,Q247212,604 Records,CA
421,Q7824625,Top Stop Music,US
422,Q51621503,Purple Money,FR
423,Q5513722,GMA Records,PH
424,Q7600793,Star Magic,PH
425,Q3031775,Roxy Recordings,
426,Q2002177,Lava Records,US
427,Q24930239,Din Records,
428,Q534492,AZ,FR
429,Q1765119,Selfmade Records,DE
430,Q20978620,The Fried Music,FI
431,Q30037340,Soulistic Music,
432,Q4352944,550 Music,US
433,Q5009264,CBS Records International,US
434,Q10366566,Sony Music Canada,CA
435,Q19612905,Universal Müzik,TR
436,Q3415062,RAS Records,US
437,Q585643,Atco Records,US
438,Q6515797,Leedon,AU
439,Q1199011,Doggy Style Records,US
440,Q7921413,RCA Inspiration,US
441,Q1815770,No Limit Records,US
442,Q522618,Priority Records,US
443,Q474627,Amphetamine Reptile Records,US
444,Q86820154,1111Klubb,NO
445,Q11956488,NMG/G-Huset,NO
446,Q180277,Hansa Records,
447,Q5206081,DRT Entertainment,US
448,Q2660489,Playground Music Scandinavia,SE
449,Q7138178,Park the Van,US
450,Q2265719,I.R.S. Records,US
